PMS,RA,Dec,B,R,K
Haro6-32 ,4:41:04.24 ,25:57:56.1 ,18.47 ,15.36 ,9.95
UYAurB  ,4:51:47.37 ,30:47:13.4 ,12.47 ,11.35 ,7.24
IWTauA  ,4:41:04.70 ,24:51:06.2 ,14.39 ,11.94 ,8.28
I04489p3042 ,4:52:06.68 ,30:47:17.5 ,,,10.38
IWTauB  ,4:41:04.70 ,24:51:06.2 ,14.39 ,11.94 ,8.28
St34  ,4:54:23.68 ,17:09:53.4 ,15.56 ,14.15 ,9.79
ITG 33A  ,4:41:08.26 ,25:56:07.4 ,20.43 ,18.63 ,11.09
GMAur  ,4:55:10.98 ,30:21:59.5 ,13.84 ,11.12 ,8.28
ITG 34  ,4:41:10.78 ,25:55:11.6 ,,19.37 ,11.45
J04552333+3027366,4:55:23.33 ,30:27:36.6 ,0.00 ,18.63 ,11.97
I04381p2540 ,4:41:12.67 ,25:46:35.4 ,,,11.54
LkCa19  ,4:55:36.95 ,30:17:55.3 ,11.67 ,10.49 ,8.15
CoKuTau/4 ,4:41:16.81 ,28:40:00.0 ,13.99 ,12.10 ,8.66
J04554046+3039057,4:55:40.46 ,30:39:05.7 ,19.07 ,17.08 ,11.77
ITG 40  ,4:41:24.64 ,25:43:53.0 ,,,11.75
J04554535+3019389,4:55:45.35 ,30:19:38.9 ,17.64 ,15.49 ,10.46
I04385+2550 ,4:41:38.82 ,25:56:26.5 ,18.84 ,15.54 ,9.65
ABAur  ,4:55:45.82 ,30:33:04.3 ,7.13 ,7.03 ,4.23
J04414489+2301513,4:41:44.90 ,23:01:51.4 ,,20.55 ,13.16
J04554757+3028077,4:55:47.57 ,30:28:07.7 ,17.26 ,15.17 ,9.98
J04414565+2301580,4:41:45.65 ,23:01:58.0 ,16.73 ,14.24 ,9.85
J04554801+3028050,4:55:48.01 ,30:28:05.5 ,20.47 ,16.66 ,12.15
J04414825+2534304,4:41:48.25 ,25:34:30.4 ,20.33 ,19.29 ,12.22
XEST26-052  ,4:55:48.20 ,30:30:16.0 ,17.67 ,15.80 ,10.95
LkHa332/G2A ,4:42:05.48 ,25:22:56.2 ,15.55 ,11.99 ,8.23
J04554969+3019400,4:55:49.69 ,30:19:40.0 ,20.14 ,17.84 ,11.86
LkHa332/G2B ,4:42:05.48 ,25:22:56.2 ,15.55 ,11.99 ,8.23
J04555288+3006523,4:55:52.89 ,30:06:52.3 ,17.87 ,15.80 ,10.73
LkHa332/G1A ,4:42:07.32 ,25:23:03.2 ,13.80 ,9.84 ,7.95
XEST26-062  ,4:55:56.05 ,30:36:20.9 ,15.79 ,12.94 ,9.27
LkHa332/G1B ,4:42:07.32 ,25:23:03.2 ,13.80 ,9.84 ,7.95
J04555636+3049374,4:55:56.37 ,30:49:37.5 ,18.32 ,16.17 ,11.09
V955TauA ,4:42:07.77 ,25:23:11.8 ,14.90 ,0.00 ,9.43
SUAur  ,4:55:59.38 ,30:34:01.5 ,9.88 ,8.83 ,5.99
V955TauB ,4:42:07.77 ,25:23:11.8 ,14.90 ,0.00 ,9.43
HBC427  ,4:56:02.01 ,30:21:03.7 ,12.08 ,10.67 ,8.13
CIDA-7  ,4:42:21.01 ,25:20:34.3 ,18.84 ,16.22 ,10.17
J04574903+3015195,4:57:49.03 ,30:15:19.5 ,,,11.48
DPTau  ,4:42:37.69 ,25:15:37.4 ,16.71 ,14.03 ,8.76
V836Tau  ,5:03:06.59 ,25:23:19.7 ,14.25 ,12.13 ,8.60
GOTau  ,4:43:03.09 ,25:20:18.7 ,16.81 ,14.24 ,9.33
CIDA-8  ,5:04:41.39 ,25:09:54.4 ,17.11 ,14.64 ,9.60
CIDA-14  ,4:43:20.23 ,29:40:06.0 ,17.01 ,14.96 ,9.41
CIDA-9  ,5:05:22.86 ,25:31:31.2 ,17.04 ,14.09 ,11.16
I04414+2506 ,4:44:27.13 ,25:12:16.4 ,19.27 ,17.00 ,10.76
CIDA-10  ,5:06:16.74 ,24:46:10.2 ,16.38 ,14.25 ,9.82
I04428p2403 ,4:45:54.82 ,24:08:43.5 ,17.67 ,15.66 ,13.19
CIDA-11  ,5:06:23.32 ,24:32:19.9 ,15.49 ,13.82 ,9.46
RXJ04467+2459 ,4:46:42.59 ,24:59:03.1 ,18.29 ,15.85 ,15.58
RXJ05072+2437 ,5:07:12.07 ,24:37:16.4 ,14.32 ,12.07 ,9.30
DQTau  ,4:46:53.05 ,17:00:00.1 ,16.28 ,12.45 ,7.98
RWAur A  ,5:07:49.53 ,30:24:05.0 ,10.62 ,10.06 ,7.02
Haro6-37A ,4:46:58.97 ,17:02:38.1 ,14.93 ,12.69 ,7.31
RWAur B  ,5:07:49.53 ,30:24:05.0 ,10.62 ,10.06 ,7.02
Haro6-37B ,4:46:59.09 ,17:02:40.3 ,14.93 ,12.69 ,7.31
CIDA-12  ,5:07:56.56 ,25:00:19.6 ,15.63 ,14.26 ,10.40
DRTau  ,4:47:06.20 ,16:58:42.8 ,12.08 ,10.68 ,6.87
