_RAJ2000,_DEJ2000,GaiaDR3,SigMA,stability,Dist,e_Dist,E_Dist,X,e_X,Y,e_Y,Z,e_Z,E_X,E_Y,E_Z,VtRA,e_VtRA,VtDE,e_VtDE,E_VtRA,E_VtDE,VtRALSR,VtDELSR,RV,_RA,_DE
240.4068558,-22.0499514,6243442882727904768,5,44.4,163.601,3.439918,3.548949,148.992,3.13275,-24.226,0.525525,63.0848,1.326441,3.232045,0.50938,1.368484,-9.149,0.2456,-15.84,0.35415,0.22261,0.33536,-1.704,-3.706,-4.677,240.40686,-22.04995
240.1689678,-22.0090475,6243446387421336064,4,90.3,152.702,0.394913,0.40055,138.824,0.35902,-22.913,0.060101,59.3383,0.153458,0.364145,0.059255,0.155649,-7.779,0.02515,-15.37,0.04138,0.02566,0.04067,-0.272,-3.257,-6.545,240.16897,-22.00905
240.19252,-21.9783147,6243446799738207360,3,100.0,145.289,2.925004,3.272152,132.093,2.659346,-21.706,0.488859,56.4719,1.13691,2.974965,0.436995,1.271842,-8.806,0.21527,-16.17,0.35334,0.20942,0.35235,-1.305,-4.06,-6.291,240.19252,-21.97831
240.0506569,-21.9510128,6243459409762251648,3,100.0,144.496,0.603364,0.629572,131.233,0.547983,-21.752,0.094774,56.4252,0.235612,0.571786,0.090829,0.245846,-8.003,0.04157,-15.74,0.06941,0.04034,0.0676,-0.466,-3.645,-6.28,240.05066,-21.95101
239.2766778,-22.1017906,6243485282644929408,3,100.0,145.335,0.986582,1.031696,131.338,0.891565,-23.347,0.165738,57.6845,0.391582,0.932334,0.15849,0.409488,-8.643,0.07009,-16.2,0.11259,0.07353,0.11706,-0.907,-4.12,-6.133,239.27668,-22.10179
239.3378478,-22.0370472,6243487069351330304,3,100.0,146.37,0.51745,0.500731,132.305,0.467728,-23.297,0.079698,58.1099,0.205432,0.452615,0.082359,0.198794,-8.938,0.03804,-15.59,0.0571,0.03758,0.05429,-1.218,-3.52,-6.159,239.33785,-22.03705
239.1666969,-22.0278775,6243489715051060480,3,100.0,146.252,0.471854,0.482876,132.033,0.42598,-23.525,0.077671,58.3394,0.188221,0.43593,0.075898,0.192618,-8.984,0.03472,-15.32,0.05294,0.03232,0.04957,-1.219,-3.257,-6.138,239.1667,-22.02788
239.8455392,-21.8922172,6243504627178052480,3,100.0,136.016,0.464846,0.441346,123.334,0.421502,-20.665,0.067055,53.499,0.182837,0.400194,0.070626,0.173594,-8.335,0.03927,-15.49,0.05695,0.03524,0.05467,-0.745,-3.415,-6.269,239.84554,-21.89222
239.5973406,-21.8664611,6243507856993984000,3,98.7,150.345,1.72347,1.933238,136.079,1.559925,-23.186,0.298137,59.5714,0.682892,1.749787,0.265787,0.766008,-9.372,0.13714,-15.46,0.18889,0.13021,0.18341,-1.718,-3.405,-6.242,239.59734,-21.86646
239.9101656,-21.7692422,6243512358119229056,3,98.1,142.533,1.219205,1.231307,129.252,1.105609,-21.331,0.184271,56.1634,0.480414,1.116583,0.18246,0.485183,-9.088,0.09376,-16.76,0.14937,0.08591,0.15215,-1.514,-4.711,-6.312,239.91017,-21.76924
239.7004508,-21.6928953,6243522734760321536,9,84.3,105.978,0.986558,0.986348,95.9404,0.893114,-15.99,0.148816,42.0856,0.391776,0.892924,0.148848,0.391693,-11.56,0.12496,-15.88,0.15848,0.11632,0.16133,-3.934,-3.856,-5.135,239.70045,-21.6929
240.4810033,-21.9804956,6243537406369453824,3,99.9,134.703,0.565541,0.537153,122.711,0.515196,-19.72,0.078637,51.9413,0.218072,0.489334,0.082793,0.207126,-7.736,0.0366,-15.35,0.06193,0.03787,0.06391,-0.31,-3.231,-6.329,240.481,-21.9805
240.6729447,-21.6402833,6243553211849342464,3,100.0,140.543,1.251883,1.340433,128.067,1.140759,-19.668,0.18758,54.4442,0.484962,1.221449,0.175189,0.519265,-7.899,0.08083,-15.96,0.14115,0.08615,0.14441,-0.523,-3.898,-6.45,240.67294,-21.64028
240.4852569,-21.6178572,6243564481845094784,3,100.0,139.154,0.416694,0.407621,126.631,0.379196,-19.707,0.057729,54.2204,0.162362,0.370939,0.059014,0.158827,-7.644,0.02732,-15.61,0.04972,0.02946,0.04599,-0.219,-3.557,-6.431,240.48526,-21.61786
240.4386564,-21.6487228,6243564718060678912,5,7.0,164.554,9.660603,11.04961,149.713,8.789292,-23.452,1.574755,64.1421,3.765636,10.05302,1.376798,4.307061,-9.067,0.782,-13.62,0.90648,0.66864,0.86693,-1.63,-1.569,-4.793,240.43866,-21.64872
